2017-11-06 15:20:39.785 [http-apr-8080-exec-9] INFO  com.ray.weixin.gz.util.AuthHelper - jsonObject:{"access_token":"EDT9GLXDl1PNc7Ql0Z85IWwzW4sU73WJfuS7xqckXGSZyYHqhyKKaBOdfC00QusvXqftUAGcGu-MOD-YTqVE-KA5QIC4ASiqIBHWfpolXa4psZgnPfH1r9N0DpwoZlCRVIJhAIABOP","expires_in":7200}
2017-11-06 15:20:39.875 [http-apr-8080-exec-9] INFO  com.ray.weixin.gz.util.AuthHelper - jsonObject:{"errcode":0,"ticket":"kgt8ON7yVITDhtdwci0qed-m2nUygHpV3DXUL-ToMki419zagN1aHmm6zri76PigOOxHOAL7l9jxPoGq84BzFg","errmsg":"ok","expires_in":7200}
2017-11-06 15:20:39.876 [http-apr-8080-exec-9] INFO  com.ray.weixin.gz.util.AuthHelper - accessToken:EDT9GLXDl1PNc7Ql0Z85IWwzW4sU73WJfuS7xqckXGSZyYHqhyKKaBOdfC00QusvXqftUAGcGu-MOD-YTqVE-KA5QIC4ASiqIBHWfpolXa4psZgnPfH1r9N0DpwoZlCRVIJhAIABOP
2017-11-06 15:20:39.883 [http-apr-8080-exec-9] INFO  com.ray.weixin.gz.util.AuthHelper - ticket:kgt8ON7yVITDhtdwci0qed-m2nUygHpV3DXUL-ToMki419zagN1aHmm6zri76PigOOxHOAL7l9jxPoGq84BzFg
2017-11-06 15:20:39.883 [http-apr-8080-exec-9] INFO  com.ray.weixin.gz.util.AuthHelper - nonceStr:4f8fea6b-e32a-4c20-b2c5-51ee7926aafd
2017-11-06 15:20:39.883 [http-apr-8080-exec-9] INFO  com.ray.weixin.gz.util.AuthHelper - timeStamp:1509952839
2017-11-06 15:20:39.884 [http-apr-8080-exec-9] INFO  com.ray.weixin.gz.util.AuthHelper - signedUrl:http://rayner.nat300.top/weixin_gz/showInvoice.jsp
2017-11-06 15:20:39.884 [http-apr-8080-exec-9] INFO  com.ray.weixin.gz.util.AuthHelper - signature:e16a7cf702659c4997272ad6c0a3e97772a15e06
2017-11-06 15:20:39.884 [http-apr-8080-exec-9] INFO  com.ray.weixin.gz.util.AuthHelper - appId:wxa0064ea657f80062
2017-11-06 15:20:39.884 [http-apr-8080-exec-9] INFO  com.ray.weixin.gz.util.AuthHelper - configValue:{signature:'e16a7cf702659c4997272ad6c0a3e97772a15e06',nonceStr:'4f8fea6b-e32a-4c20-b2c5-51ee7926aafd',timeStamp:'1509952839',appId:'wxa0064ea657f80062'}
2017-11-06 15:20:48.919 [http-apr-8080-exec-2] INFO  com.ray.weixin.gz.util.AuthHelper - jsonObject:{"access_token":"EDT9GLXDl1PNc7Ql0Z85IWwzW4sU73WJfuS7xqckXGTXbEqoDUGtKacv7L3OiC15-zs1_2NnScKbHaVzRKmN7POjqFOwowtHKf0Qg0xSH4H_xK6tzZhxQBdAciPa3VFTDWJhAIAXQD","expires_in":7200}
2017-11-06 15:20:49.005 [http-apr-8080-exec-2] INFO  com.ray.weixin.gz.util.AuthHelper - jsonObject:{"errcode":0,"ticket":"kgt8ON7yVITDhtdwci0qed-m2nUygHpV3DXUL-ToMki419zagN1aHmm6zri76PigOOxHOAL7l9jxPoGq84BzFg","errmsg":"ok","expires_in":7200}
2017-11-06 15:20:49.006 [http-apr-8080-exec-2] INFO  com.ray.weixin.gz.util.AuthHelper - accessToken:EDT9GLXDl1PNc7Ql0Z85IWwzW4sU73WJfuS7xqckXGTXbEqoDUGtKacv7L3OiC15-zs1_2NnScKbHaVzRKmN7POjqFOwowtHKf0Qg0xSH4H_xK6tzZhxQBdAciPa3VFTDWJhAIAXQD
2017-11-06 15:20:49.006 [http-apr-8080-exec-2] INFO  com.ray.weixin.gz.util.AuthHelper - ticket:kgt8ON7yVITDhtdwci0qed-m2nUygHpV3DXUL-ToMki419zagN1aHmm6zri76PigOOxHOAL7l9jxPoGq84BzFg
2017-11-06 15:20:49.006 [http-apr-8080-exec-2] INFO  com.ray.weixin.gz.util.AuthHelper - nonceStr:e8a3fd68-3362-49f4-9f42-e6e24487b716
2017-11-06 15:20:49.006 [http-apr-8080-exec-2] INFO  com.ray.weixin.gz.util.AuthHelper - timeStamp:1509952848
2017-11-06 15:20:49.006 [http-apr-8080-exec-2] INFO  com.ray.weixin.gz.util.AuthHelper - signedUrl:http://rayner.nat300.top/weixin_gz/showInvoice.jsp
2017-11-06 15:20:49.006 [http-apr-8080-exec-2] INFO  com.ray.weixin.gz.util.AuthHelper - signature:00202d52616d7df5fd61954bee9dd8ab807989c3
2017-11-06 15:20:49.006 [http-apr-8080-exec-2] INFO  com.ray.weixin.gz.util.AuthHelper - appId:wxa0064ea657f80062
2017-11-06 15:20:49.006 [http-apr-8080-exec-2] INFO  com.ray.weixin.gz.util.AuthHelper - configValue:{signature:'00202d52616d7df5fd61954bee9dd8ab807989c3',nonceStr:'e8a3fd68-3362-49f4-9f42-e6e24487b716',timeStamp:'1509952848',appId:'wxa0064ea657f80062'}
