2017-11-07 14:00:44.304 [http-apr-8080-exec-5] INFO  com.ray.weixin.gz.util.AuthHelper - jsonObject:{"access_token":"NJXYRcA1-ZQ2AZekTALtXOeSGqakhB-BWenFAl82MYdNVVYF3KfXe0kAWjeYTlX_jiI4Nm6wjiXmWnIsVTr_7JU-ejK7mLAkFzobcB13VT8Ntqh276qp-0uRC_cm_taIBQXfABAFUB","expires_in":7200}
2017-11-07 14:00:44.480 [http-apr-8080-exec-5] INFO  com.ray.weixin.gz.util.AuthHelper - jsonObject:{"errcode":0,"ticket":"kgt8ON7yVITDhtdwci0qed-m2nUygHpV3DXUL-ToMkhHSQIYlDgkkvWFFZAoiCyMeRK-_uHffh8IGz5wqv2Z0A","errmsg":"ok","expires_in":7200}
2017-11-07 14:00:44.481 [http-apr-8080-exec-5] INFO  com.ray.weixin.gz.util.AuthHelper - accessToken:NJXYRcA1-ZQ2AZekTALtXOeSGqakhB-BWenFAl82MYdNVVYF3KfXe0kAWjeYTlX_jiI4Nm6wjiXmWnIsVTr_7JU-ejK7mLAkFzobcB13VT8Ntqh276qp-0uRC_cm_taIBQXfABAFUB
2017-11-07 14:00:44.481 [http-apr-8080-exec-5] INFO  com.ray.weixin.gz.util.AuthHelper - ticket:kgt8ON7yVITDhtdwci0qed-m2nUygHpV3DXUL-ToMkhHSQIYlDgkkvWFFZAoiCyMeRK-_uHffh8IGz5wqv2Z0A
2017-11-07 14:00:44.481 [http-apr-8080-exec-5] INFO  com.ray.weixin.gz.util.AuthHelper - nonceStr:7a53f19e-ec1b-4650-a1e3-5abf52f6a743
2017-11-07 14:00:44.481 [http-apr-8080-exec-5] INFO  com.ray.weixin.gz.util.AuthHelper - timeStamp:1510034442
2017-11-07 14:00:44.482 [http-apr-8080-exec-5] INFO  com.ray.weixin.gz.util.AuthHelper - signedUrl:http://localhost:8080/weixin_gz/showInvoice.jsp
2017-11-07 14:00:44.482 [http-apr-8080-exec-5] INFO  com.ray.weixin.gz.util.AuthHelper - signature:3fc2219e6202aa539e9a1f8c150553836d43a8b0
2017-11-07 14:00:44.482 [http-apr-8080-exec-5] INFO  com.ray.weixin.gz.util.AuthHelper - appId:wxa0064ea657f80062
2017-11-07 14:00:44.482 [http-apr-8080-exec-5] INFO  com.ray.weixin.gz.util.AuthHelper - configValue:{signature:'3fc2219e6202aa539e9a1f8c150553836d43a8b0',nonceStr:'7a53f19e-ec1b-4650-a1e3-5abf52f6a743',timeStamp:'1510034442',appId:'wxa0064ea657f80062'}
2017-11-07 14:00:44.609 [http-apr-8080-exec-5] INFO  com.ray.weixin.gz.util.AuthHelper - jsonObject:{"access_token":"NJXYRcA1-ZQ2AZekTALtXOeSGqakhB-BWenFAl82MYejZRALigx4Jf15kDMfzbCxlCu3KSvVeRXFLv9Lojaf87Z7-E6mHa7sle3h2Oai2Ejfnh38rasFvSigyTLei8umYKWfABAKWI","expires_in":7200}
2017-11-07 14:00:44.745 [http-apr-8080-exec-5] INFO  com.ray.weixin.gz.service.invoice.InvoiceService - jsonObject:{"errcode":0,"ticket":"IpK_1T69hDhZkLQTlwsAX5ZwNp_4txyINLb67lXqTZL7FvH1dhjwgIhtIZecH_m_KICkWeVkW0D1r2ipBd-nVw","errmsg":"ok","expires_in":7200}
2017-11-07 14:00:44.746 [http-apr-8080-exec-5] INFO  com.ray.weixin.gz.util.AuthHelper - apiTicket:IpK_1T69hDhZkLQTlwsAX5ZwNp_4txyINLb67lXqTZL7FvH1dhjwgIhtIZecH_m_KICkWeVkW0D1r2ipBd-nVw
2017-11-07 14:00:44.747 [http-apr-8080-exec-5] INFO  com.ray.weixin.gz.util.AuthHelper - appId:wxa0064ea657f80062
2017-11-07 14:00:44.747 [http-apr-8080-exec-5] INFO  com.ray.weixin.gz.util.AuthHelper - timeStamp:1510034444
2017-11-07 14:00:44.747 [http-apr-8080-exec-5] INFO  com.ray.weixin.gz.util.AuthHelper - nonceStr:25107dcc-3f5a-448d-b2a0-0715f16b99d5
2017-11-07 14:00:44.747 [http-apr-8080-exec-5] INFO  com.ray.weixin.gz.util.AuthHelper - cardType:INVOICE
2017-11-07 14:00:44.747 [http-apr-8080-exec-5] INFO  com.ray.weixin.gz.util.AuthHelper - cardSign:baa1141953500738db9a18792f223ce19eda9ddd
2017-11-07 14:00:44.747 [http-apr-8080-exec-5] INFO  com.ray.weixin.gz.util.AuthHelper - signType:SHA1
2017-11-07 14:00:44.748 [http-apr-8080-exec-5] INFO  com.ray.weixin.gz.util.AuthHelper - configValue:{"signType":"SHA1","cardSign":"baa1141953500738db9a18792f223ce19eda9ddd","nonceStr":"25107dcc-3f5a-448d-b2a0-0715f16b99d5","timestamp":1510034444}
