2017-11-07 18:06:36.264 [http-apr-8080-exec-14] INFO  com.ray.weixin.gz.controller.WeiXinServlet - post--------------
2017-11-07 18:06:36.282 [http-apr-8080-exec-14] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - parms:{"signature":["11471a072d71b7456b1be35e8c9f88f5681c5d84"],"timestamp":["1510049196"],"nonce":["170885427"],"openid":["oDLefxG1D9IP0cqJASwD6fDuGlCI"]}
2017-11-07 18:06:36.282 [http-apr-8080-exec-14] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - postData:<xml><ToUserName><![CDATA[gh_8c1dd328db4e]]></ToUserName><FromUserName><![CDATA[oDLefxG1D9IP0cqJASwD6fDuGlCI]]></FromUserName><CreateTime>1510049196</CreateTime><MsgType><![CDATA[event]]></MsgType><Event><![CDATA[VIEW]]></Event><EventKey><![CDATA[http://rayner.nat300.top/weixin_gz/showInvoice.jsp]]></EventKey><MenuId>591675728</MenuId></xml>
2017-11-07 18:06:36.283 [http-apr-8080-exec-14] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - 明文模式
2017-11-07 18:06:36.284 [http-apr-8080-exec-14] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - <xml><ToUserName><![CDATA[gh_8c1dd328db4e]]></ToUserName><FromUserName><![CDATA[oDLefxG1D9IP0cqJASwD6fDuGlCI]]></FromUserName><CreateTime>1510049196</CreateTime><MsgType><![CDATA[event]]></MsgType><Event><![CDATA[VIEW]]></Event><EventKey><![CDATA[http://rayner.nat300.top/weixin_gz/showInvoice.jsp]]></EventKey><MenuId>591675728</MenuId></xml>
2017-11-07 18:06:36.304 [http-apr-8080-exec-14] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - fromUserName:oDLefxG1D9IP0cqJASwD6fDuGlCI
2017-11-07 18:06:36.304 [http-apr-8080-exec-14] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - toUserName:gh_8c1dd328db4e
2017-11-07 18:06:36.305 [http-apr-8080-exec-14] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - msgType:event
2017-11-07 18:06:36.305 [http-apr-8080-exec-14] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - Event:VIEW  eventKey:http://rayner.nat300.top/weixin_gz/showInvoice.jsp
2017-11-07 18:06:36.814 [http-apr-8080-exec-16] INFO  com.ray.weixin.gz.util.AuthHelper - jsonObject:{"access_token":"rGgsA8hv0gNr9zvvLFL00vJaJYOzX3ULJrdvTtogJZ5edXXYTM3dm8xYZVYeO8BVN6ndcp0Y26HcihdrnG17JFRcT1vPl4IyOBnqo6ef-23mpuiaNiiPBYRSrtxDgUkwGYWjAEAOGE","expires_in":7200}
2017-11-07 18:06:36.933 [http-apr-8080-exec-16] INFO  com.ray.weixin.gz.util.AuthHelper - jsonObject:{"errcode":0,"ticket":"kgt8ON7yVITDhtdwci0qed-m2nUygHpV3DXUL-ToMkhPApxtfh2gKdIeor3imcxVFP-2XAPiOcq_JwoPklYpgg","errmsg":"ok","expires_in":7200}
