2017-11-07 18:21:19.961 [http-apr-8080-exec-14] INFO  com.ray.weixin.gz.util.AuthHelper - jsonObject:{"access_token":"WKPZKSzcDrMtIJR3tLi23w8ogK8h5ehryzngz5RnWqGOx2N97gzcsJfLy_PysKuV2ZJPBaYp4oJkDN-UIG9h8YjJYmzru9tluBTdv8TUozEvTkfnXjZN0miz3ZaQrkJtCHWgAEAFKZ","expires_in":7200}
2017-11-07 18:21:20.082 [http-apr-8080-exec-14] INFO  com.ray.weixin.gz.util.AuthHelper - jsonObject:{"errcode":0,"ticket":"kgt8ON7yVITDhtdwci0qed-m2nUygHpV3DXUL-ToMkhPApxtfh2gKdIeor3imcxVFP-2XAPiOcq_JwoPklYpgg","errmsg":"ok","expires_in":7200}
2017-11-07 18:21:20.082 [http-apr-8080-exec-14] INFO  com.ray.weixin.gz.util.AuthHelper - accessToken:WKPZKSzcDrMtIJR3tLi23w8ogK8h5ehryzngz5RnWqGOx2N97gzcsJfLy_PysKuV2ZJPBaYp4oJkDN-UIG9h8YjJYmzru9tluBTdv8TUozEvTkfnXjZN0miz3ZaQrkJtCHWgAEAFKZ
2017-11-07 18:21:20.082 [http-apr-8080-exec-14] INFO  com.ray.weixin.gz.util.AuthHelper - ticket:kgt8ON7yVITDhtdwci0qed-m2nUygHpV3DXUL-ToMkhPApxtfh2gKdIeor3imcxVFP-2XAPiOcq_JwoPklYpgg
2017-11-07 18:21:20.082 [http-apr-8080-exec-14] INFO  com.ray.weixin.gz.util.AuthHelper - nonceStr:ee7399cf-df36-48f8-88ff-f871a88b2d21
2017-11-07 18:21:20.082 [http-apr-8080-exec-14] INFO  com.ray.weixin.gz.util.AuthHelper - timeStamp:1510050079
2017-11-07 18:21:20.083 [http-apr-8080-exec-14] INFO  com.ray.weixin.gz.util.AuthHelper - signedUrl:http://rayner.nat300.top/weixin_gz/showInvoice.jsp
2017-11-07 18:21:20.083 [http-apr-8080-exec-14] INFO  com.ray.weixin.gz.util.AuthHelper - signature:753c69631cfbbe9eb820e7a3bd790a1122c2de4a
2017-11-07 18:21:20.083 [http-apr-8080-exec-14] INFO  com.ray.weixin.gz.util.AuthHelper - appId:wxa0064ea657f80062
2017-11-07 18:21:20.083 [http-apr-8080-exec-14] INFO  com.ray.weixin.gz.util.AuthHelper - configValue:{signature:'753c69631cfbbe9eb820e7a3bd790a1122c2de4a',nonceStr:'ee7399cf-df36-48f8-88ff-f871a88b2d21',timeStamp:'1510050079',appId:'wxa0064ea657f80062'}
2017-11-07 18:21:20.199 [http-apr-8080-exec-14] INFO  com.ray.weixin.gz.util.AuthHelper - jsonObject:{"access_token":"WKPZKSzcDrMtIJR3tLi23w8ogK8h5ehryzngz5RnWqGDUKDvzd1uAk2aYhCoLFe7Cm9RfbEb6cJU5dAhF20spGlkbNtuFHvHqmiDAdKB7ZrdL6g6zvzFBELDgoodvb4XSPZgAEAMJT","expires_in":7200}
2017-11-07 18:21:20.312 [http-apr-8080-exec-14] INFO  com.ray.weixin.gz.service.invoice.InvoiceService - jsonObject:{"errcode":0,"ticket":"IpK_1T69hDhZkLQTlwsAX5ZwNp_4txyINLb67lXqTZLu1wnHfVUUtHcdEyG5_WoqaHyMZAIs8Y28ypHDa0iuvg","errmsg":"ok","expires_in":7200}
2017-11-07 18:21:20.313 [http-apr-8080-exec-14] INFO  com.ray.weixin.gz.util.AuthHelper - apiTicket:IpK_1T69hDhZkLQTlwsAX5ZwNp_4txyINLb67lXqTZLu1wnHfVUUtHcdEyG5_WoqaHyMZAIs8Y28ypHDa0iuvg
2017-11-07 18:21:20.313 [http-apr-8080-exec-14] INFO  com.ray.weixin.gz.util.AuthHelper - appId:wxa0064ea657f80062
2017-11-07 18:21:20.314 [http-apr-8080-exec-14] INFO  com.ray.weixin.gz.util.AuthHelper - timeStamp:1510050080
2017-11-07 18:21:20.315 [http-apr-8080-exec-14] INFO  com.ray.weixin.gz.util.AuthHelper - nonceStr:481ba24f-3d1b-4256-aa37-8fdb3bdcaa59
2017-11-07 18:21:20.315 [http-apr-8080-exec-14] INFO  com.ray.weixin.gz.util.AuthHelper - cardType:INVOICE
2017-11-07 18:21:20.315 [http-apr-8080-exec-14] INFO  com.ray.weixin.gz.util.AuthHelper - cardSign:9ab92f9fa9d82b14711c69330cf00af80284abe7
2017-11-07 18:21:20.315 [http-apr-8080-exec-14] INFO  com.ray.weixin.gz.util.AuthHelper - signType:SHA1
2017-11-07 18:21:20.315 [http-apr-8080-exec-14] INFO  com.ray.weixin.gz.util.AuthHelper - configValue:{"signType":"SHA1","cardSign":"9ab92f9fa9d82b14711c69330cf00af80284abe7","nonceStr":"481ba24f-3d1b-4256-aa37-8fdb3bdcaa59","timestamp":1510050080}
2017-11-07 18:21:24.510 [http-apr-8080-exec-19] INFO  com.ray.weixin.gz.controller.WeiXinServlet - post--------------
2017-11-07 18:21:24.510 [http-apr-8080-exec-19] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - parms:{"signature":["d6e5d9e17c3c19ee937beb3b168881b0eef093bc"],"timestamp":["1510050084"],"nonce":["1499490992"],"openid":["oDLefxDvQajibXhSWIWHrkiO1n2o"]}
2017-11-07 18:21:24.511 [http-apr-8080-exec-19] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - postData:<xml><ToUserName><![CDATA[gh_8c1dd328db4e]]></ToUserName><FromUserName><![CDATA[oDLefxDvQajibXhSWIWHrkiO1n2o]]></FromUserName><CreateTime>1510050084</CreateTime><MsgType><![CDATA[event]]></MsgType><Event><![CDATA[VIEW]]></Event><EventKey><![CDATA[http://rayner.nat300.top/weixin_gz/showInvoice.jsp]]></EventKey><MenuId>591675728</MenuId></xml>
2017-11-07 18:21:24.511 [http-apr-8080-exec-19] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - 明文模式
