2017-11-09 11:28:16.179 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.util.AuthHelper - jsonObject:{"access_token":"OwXnuubE7IGTsqT7FDyt24bRTvr8A0wkt20yW5cxIV7vdgu0u2EWoCUjkWdrdcy5Qesb92jD_ihbcGRd6zXenIH3Fl73ojLQun3dz7e92J2J1nO0jdsbHnf0c58Rk2LSGEIdABABZD","expires_in":7200}
2017-11-09 11:28:16.378 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.util.AuthHelper - jsonObject:{"errcode":0,"ticket":"kgt8ON7yVITDhtdwci0qed-m2nUygHpV3DXUL-ToMki2cbgxA1x_53pbV2K9GoH4htkhE-5KJ1niSzpX8iXRKg","errmsg":"ok","expires_in":7200}
2017-11-09 11:28:16.379 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.util.AuthHelper - accessToken:OwXnuubE7IGTsqT7FDyt24bRTvr8A0wkt20yW5cxIV7vdgu0u2EWoCUjkWdrdcy5Qesb92jD_ihbcGRd6zXenIH3Fl73ojLQun3dz7e92J2J1nO0jdsbHnf0c58Rk2LSGEIdABABZD
2017-11-09 11:28:16.381 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.util.AuthHelper - ticket:kgt8ON7yVITDhtdwci0qed-m2nUygHpV3DXUL-ToMki2cbgxA1x_53pbV2K9GoH4htkhE-5KJ1niSzpX8iXRKg
2017-11-09 11:28:16.381 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.util.AuthHelper - nonceStr:e7106334-5d2b-4ce7-bea9-45d06e9aed81
2017-11-09 11:28:16.381 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.util.AuthHelper - timeStamp:1510198094
2017-11-09 11:28:16.381 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.util.AuthHelper - signedUrl:http://localhost:8080/weixin_gz/showInvoice.jsp
2017-11-09 11:28:16.381 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.util.AuthHelper - signature:e1d96cfe6f9ba322594ebbaacbc1bd44b4780506
2017-11-09 11:28:16.381 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.util.AuthHelper - appId:wxa0064ea657f80062
2017-11-09 11:28:16.381 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.util.AuthHelper - configValue:{signature:'e1d96cfe6f9ba322594ebbaacbc1bd44b4780506',nonceStr:'e7106334-5d2b-4ce7-bea9-45d06e9aed81',timeStamp:'1510198094',appId:'wxa0064ea657f80062'}
2017-11-09 11:28:16.484 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.util.AuthHelper - jsonObject:{"access_token":"OwXnuubE7IGTsqT7FDyt24bRTvr8A0wkt20yW5cxIV5UuRtxXXnFBZYEjdBHiuCAi5ROLQDtmJ3t7ENqGZCAV_bSSLDxi9ieoDVA0cJg0e2jb3rpwRB6WViKywkgwe0jEQYdABANZH","expires_in":7199}
2017-11-09 11:28:16.633 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.service.invoice.InvoiceService - jsonObject:{"errcode":0,"ticket":"IpK_1T69hDhZkLQTlwsAX5ZwNp_4txyINLb67lXqTZIGROc9ltgisVJ5gT9v3F3B3a95mKUXtChugJzQE6qzvg","errmsg":"ok","expires_in":7200}
2017-11-09 11:28:16.634 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.util.AuthHelper - apiTicket:IpK_1T69hDhZkLQTlwsAX5ZwNp_4txyINLb67lXqTZIGROc9ltgisVJ5gT9v3F3B3a95mKUXtChugJzQE6qzvg
2017-11-09 11:28:16.635 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.util.AuthHelper - appId:wxa0064ea657f80062
2017-11-09 11:28:16.635 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.util.AuthHelper - timeStamp:1510198096
2017-11-09 11:28:16.635 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.util.AuthHelper - nonceStr:a099d46e-1b76-4089-8fb1-8e2c0c13cbd0
2017-11-09 11:28:16.635 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.util.AuthHelper - cardType:INVOICE
2017-11-09 11:28:16.635 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.util.AuthHelper - cardSign:c1a0cfb4e84d61de082365f5a51c8be09da61311
2017-11-09 11:28:16.635 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.util.AuthHelper - signType:SHA1
2017-11-09 11:28:16.636 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.util.AuthHelper - configValue:{"signType":"SHA1","cardSign":"c1a0cfb4e84d61de082365f5a51c8be09da61311","nonceStr":"a099d46e-1b76-4089-8fb1-8e2c0c13cbd0","timestamp":"1510198096"}
