2017-11-09 11:30:32.891 [http-apr-8080-exec-6] INFO  com.ray.weixin.gz.util.AuthHelper - jsonObject:{"access_token":"Q32qIll06Bz9v9JDyeVmzDOfeu2jf2of8kJ2qjF5frXeqaK0nZtEzt5xBY9GvliA8s0yxzfqCl1NimT-9t-r3N9Nf6W9Ams6LE5yJEAI8Uewt5poIeVWdXyBg9q1mbamIFIeAAAAXA","expires_in":7200}
2017-11-09 11:30:33.025 [http-apr-8080-exec-6] INFO  com.ray.weixin.gz.util.AuthHelper - jsonObject:{"errcode":0,"ticket":"kgt8ON7yVITDhtdwci0qed-m2nUygHpV3DXUL-ToMki2cbgxA1x_53pbV2K9GoH4htkhE-5KJ1niSzpX8iXRKg","errmsg":"ok","expires_in":7200}
2017-11-09 11:30:33.025 [http-apr-8080-exec-6] INFO  com.ray.weixin.gz.util.AuthHelper - accessToken:Q32qIll06Bz9v9JDyeVmzDOfeu2jf2of8kJ2qjF5frXeqaK0nZtEzt5xBY9GvliA8s0yxzfqCl1NimT-9t-r3N9Nf6W9Ams6LE5yJEAI8Uewt5poIeVWdXyBg9q1mbamIFIeAAAAXA
2017-11-09 11:30:33.028 [http-apr-8080-exec-6] INFO  com.ray.weixin.gz.util.AuthHelper - ticket:kgt8ON7yVITDhtdwci0qed-m2nUygHpV3DXUL-ToMki2cbgxA1x_53pbV2K9GoH4htkhE-5KJ1niSzpX8iXRKg
2017-11-09 11:30:33.028 [http-apr-8080-exec-6] INFO  com.ray.weixin.gz.util.AuthHelper - nonceStr:12d7cbeb-bbdc-4629-a838-63b9a4616ec8
2017-11-09 11:30:33.028 [http-apr-8080-exec-6] INFO  com.ray.weixin.gz.util.AuthHelper - timeStamp:1510198232
2017-11-09 11:30:33.028 [http-apr-8080-exec-6] INFO  com.ray.weixin.gz.util.AuthHelper - signedUrl:http://rayner.nat300.top/weixin_gz/showInvoice.jsp
2017-11-09 11:30:33.028 [http-apr-8080-exec-6] INFO  com.ray.weixin.gz.util.AuthHelper - signature:3e8a061ae6d4c9473dada81e5ec3be2ed3431be5
2017-11-09 11:30:33.029 [http-apr-8080-exec-6] INFO  com.ray.weixin.gz.util.AuthHelper - appId:wxa0064ea657f80062
2017-11-09 11:30:33.029 [http-apr-8080-exec-6] INFO  com.ray.weixin.gz.util.AuthHelper - configValue:{signature:'3e8a061ae6d4c9473dada81e5ec3be2ed3431be5',nonceStr:'12d7cbeb-bbdc-4629-a838-63b9a4616ec8',timeStamp:'1510198232',appId:'wxa0064ea657f80062'}
2017-11-09 11:30:33.127 [http-apr-8080-exec-6] INFO  com.ray.weixin.gz.util.AuthHelper - jsonObject:{"access_token":"Q32qIll06Bz9v9JDyeVmzDOfeu2jf2of8kJ2qjF5frXw5U68UwhCnwqKj1O5iJLdrKJ7QGLlXJWgVfZbrEvyz9R42f_oFjuKJS3qj67vlGFTVXvC1sFNtvncK7C__tkXZQJeAAASJC","expires_in":7200}
2017-11-09 11:30:33.213 [http-apr-8080-exec-6] INFO  com.ray.weixin.gz.service.invoice.InvoiceService - jsonObject:{"errcode":0,"ticket":"IpK_1T69hDhZkLQTlwsAX5ZwNp_4txyINLb67lXqTZIGROc9ltgisVJ5gT9v3F3B3a95mKUXtChugJzQE6qzvg","errmsg":"ok","expires_in":7200}
2017-11-09 11:30:33.213 [http-apr-8080-exec-6] INFO  com.ray.weixin.gz.util.AuthHelper - apiTicket:IpK_1T69hDhZkLQTlwsAX5ZwNp_4txyINLb67lXqTZIGROc9ltgisVJ5gT9v3F3B3a95mKUXtChugJzQE6qzvg
2017-11-09 11:30:33.213 [http-apr-8080-exec-6] INFO  com.ray.weixin.gz.util.AuthHelper - appId:wxa0064ea657f80062
2017-11-09 11:30:33.213 [http-apr-8080-exec-6] INFO  com.ray.weixin.gz.util.AuthHelper - timeStamp:1510198233
2017-11-09 11:30:33.213 [http-apr-8080-exec-6] INFO  com.ray.weixin.gz.util.AuthHelper - nonceStr:94fa0741-65f9-48ea-9962-74bae334b807
2017-11-09 11:30:33.213 [http-apr-8080-exec-6] INFO  com.ray.weixin.gz.util.AuthHelper - cardType:INVOICE
2017-11-09 11:30:33.214 [http-apr-8080-exec-6] INFO  com.ray.weixin.gz.util.AuthHelper - cardSign:13834ba4e059ad04816e36f81bfab3a1a563181c
2017-11-09 11:30:33.214 [http-apr-8080-exec-6] INFO  com.ray.weixin.gz.util.AuthHelper - signType:SHA1
2017-11-09 11:30:33.214 [http-apr-8080-exec-6] INFO  com.ray.weixin.gz.util.AuthHelper - configValue:{"signType":"SHA1","cardSign":"13834ba4e059ad04816e36f81bfab3a1a563181c","nonceStr":"94fa0741-65f9-48ea-9962-74bae334b807","timestamp":"1510198233"}
