2017-11-09 14:24:21.287 [http-apr-8080-exec-8] INFO  com.ray.weixin.qy.controller.WeiXinServlet - post--------------
2017-11-09 14:24:21.424 [http-apr-8080-exec-8] INFO  com.ray.weixin.qy.service.message.reply.ReplyMessageService - parms:{"msg_signature":["5c1d4af72660345175c0d6c2d8d68e4d87295d5e"],"timestamp":["1510208660"],"nonce":["1464778610"]}
2017-11-09 14:24:21.424 [http-apr-8080-exec-8] INFO  com.ray.weixin.qy.service.message.reply.ReplyMessageService - postData:<xml><ToUserName><![CDATA[ww92f5da92bb24696e]]></ToUserName><Encrypt><![CDATA[3a2knqPwCiOhX38ZhnHrCQKsud1DnTQ3PMlON1YNHckLMSjsP9/EW5tpib1paqeqGh/XwYFt/n4N7kVAuYPHNQWQ79EjC4swk/196WND0VyDxCDVqp9qF/OKodk7zZRx+WJjPSmYfC4U3XvBqg6d3Gary3LrDzc/a3z5CRn3n42zKzlI76ethkWSJTev5KPns0nqOOpITUjwLqpmLHk9ChGJU17wahAsUgspKD+cSBJn+XCY1Jwm3g+uwx240pLcptflntIZDi5s2t/MljQ3odzBYHXVQqM8vNtDciOqPwPK7Yk2AI1KPJDzRLgYepSgDTK3NYmuFcYY3SOSYBfOT6A39Em62RavR5nqDKNKQaAiUindlYtmno0II1NllosAA7sTyXAFceN5zr06PsNnFpIV0gtK3HR/WMDnDe92assG0WFhyWO4sKEygwk4Tkbbcqomh3Hl9wxdAfWOxHhSeVZBipGf9LKmrtNtsJYfNnzd19i55ON0bnfeKyLg4Siq]]></Encrypt><AgentID><![CDATA[1000002]]></AgentID></xml>
2017-11-09 14:24:21.445 [http-apr-8080-exec-8] INFO  com.ray.weixin.qy.service.message.reply.ReplyMessageService - reply_xmlMsg:<xml><ToUserName><![CDATA[ww92f5da92bb24696e]]></ToUserName><FromUserName><![CDATA[XuZhao]]></FromUserName><CreateTime>1510208660</CreateTime><MsgType><![CDATA[event]]></MsgType><AgentID>1000002</AgentID><Event><![CDATA[view]]></Event><EventKey><![CDATA[http://rayner.nat300.top/weixin_qy/showInvoice.jsp]]></EventKey></xml>
2017-11-09 14:24:21.707 [http-apr-8080-exec-8] INFO  com.ray.weixin.qy.service.message.reply.ReplyMessageService - fromUserName:XuZhao
2017-11-09 14:24:21.707 [http-apr-8080-exec-8] INFO  com.ray.weixin.qy.service.message.reply.ReplyMessageService - toUserName:ww92f5da92bb24696e
2017-11-09 14:24:21.708 [http-apr-8080-exec-8] INFO  com.ray.weixin.qy.service.message.reply.ReplyMessageService - msgType:event
2017-11-09 14:24:21.708 [http-apr-8080-exec-8] INFO  com.ray.weixin.qy.service.message.reply.ReplyMessageService - Event:view  eventKey:http://rayner.nat300.top/weixin_qy/showInvoice.jsp
2017-11-09 14:24:21.718 [http-apr-8080-exec-10] INFO  com.ray.weixin.qy.util.AuthHelper - jsonObject:{"errcode":0,"access_token":"ZOJ3RCym--7oan0FJRpUghR5FMT3t_PsVCi9MrJ7PkNi0Z_MxYwjR6mKIjkeU2V-fEypmP6L0ja-6dgYSWBBsfToJPJDWpPrmA0CWfhZEbX02WmyrNutPeecHG9NmA4BtMPWbTFHYRwkajzRw0ew6X43h6qpEddkRtri8x-mpNS3wJyBv-AIagdVKtRVaEF0wsTM5K20aHm3C2LW22F77g","errmsg":"ok","expires_in":7200}
2017-11-09 14:24:22.137 [http-apr-8080-exec-10] INFO  com.ray.weixin.qy.util.AuthHelper - jsonObject:{"errcode":0,"ticket":"kgt8ON7yVITDhtdwci0qebCLEfC_BfeygIq8cFPLbdbLUB0ucTHlJV0WpqmPsf-bnohhyeIsTh5Urv920HkAVA","errmsg":"ok","expires_in":7200}
2017-11-09 14:24:22.138 [http-apr-8080-exec-10] INFO  com.ray.weixin.qy.util.AuthHelper - url:http://rayner.nat300.top/weixin_qy/showInvoice.jsp
2017-11-09 14:24:22.138 [http-apr-8080-exec-10] INFO  com.ray.weixin.qy.util.AuthHelper - accessToken:ZOJ3RCym--7oan0FJRpUghR5FMT3t_PsVCi9MrJ7PkNi0Z_MxYwjR6mKIjkeU2V-fEypmP6L0ja-6dgYSWBBsfToJPJDWpPrmA0CWfhZEbX02WmyrNutPeecHG9NmA4BtMPWbTFHYRwkajzRw0ew6X43h6qpEddkRtri8x-mpNS3wJyBv-AIagdVKtRVaEF0wsTM5K20aHm3C2LW22F77g
2017-11-09 14:24:22.138 [http-apr-8080-exec-10] INFO  com.ray.weixin.qy.util.AuthHelper - jsapi_ticket:kgt8ON7yVITDhtdwci0qebCLEfC_BfeygIq8cFPLbdbLUB0ucTHlJV0WpqmPsf-bnohhyeIsTh5Urv920HkAVA
2017-11-09 14:24:22.139 [http-apr-8080-exec-10] INFO  com.ray.weixin.qy.util.AuthHelper - appId:ww92f5da92bb24696e
2017-11-09 14:24:22.139 [http-apr-8080-exec-10] INFO  com.ray.weixin.qy.util.AuthHelper - timestamp:1510208661
2017-11-09 14:24:22.139 [http-apr-8080-exec-10] INFO  com.ray.weixin.qy.util.AuthHelper - nonceStr:6f8860ad-a7ce-47ba-be59-226b838aaf04
2017-11-09 14:24:22.139 [http-apr-8080-exec-10] INFO  com.ray.weixin.qy.util.AuthHelper - signature:704ebb66c63a98579cb707765c5ff9301b28b4db
2017-11-09 14:24:22.139 [http-apr-8080-exec-10] INFO  com.ray.weixin.qy.util.AuthHelper - configValue:{"signature":"704ebb66c63a98579cb707765c5ff9301b28b4db","appId":"ww92f5da92bb24696e","nonceStr":"6f8860ad-a7ce-47ba-be59-226b838aaf04","timestamp":"1510208661"}
2017-11-09 14:24:22.356 [http-apr-8080-exec-10] INFO  com.ray.weixin.qy.util.AuthHelper - jsonObject:{"errcode":0,"access_token":"ZOJ3RCym--7oan0FJRpUghR5FMT3t_PsVCi9MrJ7PkNi0Z_MxYwjR6mKIjkeU2V-fEypmP6L0ja-6dgYSWBBsfToJPJDWpPrmA0CWfhZEbX02WmyrNutPeecHG9NmA4BtMPWbTFHYRwkajzRw0ew6X43h6qpEddkRtri8x-mpNS3wJyBv-AIagdVKtRVaEF0wsTM5K20aHm3C2LW22F77g","errmsg":"ok","expires_in":7200}
2017-11-09 14:24:22.531 [http-apr-8080-exec-10] INFO  com.ray.weixin.qy.util.AuthHelper - jsonObject:{"errcode":0,"ticket":"IpK_1T69hDhZkLQTlwsAXwPIgjZ1z6yuhHmi_IRriCiAUXMUlMDNbEIhkpqFO4J1s_HeDMkJ6uMtAqaoeeIwVg","group_id":"","errmsg":"ok","expires_in":7200}
2017-11-09 14:24:22.532 [http-apr-8080-exec-10] INFO  com.ray.weixin.qy.util.AuthHelper - apiTicket:IpK_1T69hDhZkLQTlwsAXwPIgjZ1z6yuhHmi_IRriCiAUXMUlMDNbEIhkpqFO4J1s_HeDMkJ6uMtAqaoeeIwVg
2017-11-09 14:24:22.532 [http-apr-8080-exec-10] INFO  com.ray.weixin.qy.util.AuthHelper - appId:ww92f5da92bb24696e
2017-11-09 14:24:22.532 [http-apr-8080-exec-10] INFO  com.ray.weixin.qy.util.AuthHelper - timeStamp:1510208662
2017-11-09 14:24:22.532 [http-apr-8080-exec-10] INFO  com.ray.weixin.qy.util.AuthHelper - nonceStr:ba1ee49c-0f5a-46f8-bea3-e71de8e4e597
2017-11-09 14:24:22.532 [http-apr-8080-exec-10] INFO  com.ray.weixin.qy.util.AuthHelper - cardType:INVOICE
2017-11-09 14:24:22.532 [http-apr-8080-exec-10] INFO  com.ray.weixin.qy.util.AuthHelper - cardSign:af4cc2b4deb4a5105627616dd7b87e433f02e5ba
2017-11-09 14:24:22.532 [http-apr-8080-exec-10] INFO  com.ray.weixin.qy.util.AuthHelper - signType:SHA1
2017-11-09 14:24:22.532 [http-apr-8080-exec-10] INFO  com.ray.weixin.qy.util.AuthHelper - configValue:{"signType":"SHA1","cardSign":"af4cc2b4deb4a5105627616dd7b87e433f02e5ba","nonceStr":"ba1ee49c-0f5a-46f8-bea3-e71de8e4e597","timestamp":"1510208662"}
