2017-11-09 15:59:51.103 [http-apr-8080-exec-64] INFO  com.ray.weixin.qy.service.message.reply.ReplyMessageService - fromUserName:XuZhao
2017-11-09 15:59:51.130 [http-apr-8080-exec-64] INFO  com.ray.weixin.qy.service.message.reply.ReplyMessageService - toUserName:ww92f5da92bb24696e
2017-11-09 15:59:51.130 [http-apr-8080-exec-64] INFO  com.ray.weixin.qy.service.message.reply.ReplyMessageService - msgType:event
2017-11-09 15:59:51.130 [http-apr-8080-exec-64] INFO  com.ray.weixin.qy.service.message.reply.ReplyMessageService - Event:view  eventKey:http://rayner.nat300.top/weixin_qy/showInvoice.jsp
2017-11-09 15:59:51.579 [http-apr-8080-exec-58] INFO  com.ray.weixin.qy.util.AuthHelper - jsonObject:{"errcode":0,"access_token":"ZOJ3RCym--7oan0FJRpUghR5FMT3t_PsVCi9MrJ7PkNi0Z_MxYwjR6mKIjkeU2V-fEypmP6L0ja-6dgYSWBBsfToJPJDWpPrmA0CWfhZEbX02WmyrNutPeecHG9NmA4BtMPWbTFHYRwkajzRw0ew6X43h6qpEddkRtri8x-mpNS3wJyBv-AIagdVKtRVaEF0wsTM5K20aHm3C2LW22F77g","errmsg":"ok","expires_in":7200}
2017-11-09 15:59:51.959 [http-apr-8080-exec-58] INFO  com.ray.weixin.qy.util.AuthHelper - jsonObject:{"errcode":0,"ticket":"kgt8ON7yVITDhtdwci0qebCLEfC_BfeygIq8cFPLbdbLUB0ucTHlJV0WpqmPsf-bnohhyeIsTh5Urv920HkAVA","errmsg":"ok","expires_in":7200}
2017-11-09 15:59:51.960 [http-apr-8080-exec-58] INFO  com.ray.weixin.qy.util.AuthHelper - url:http://rayner.nat300.top/weixin_qy/showInvoice.jsp
2017-11-09 15:59:51.960 [http-apr-8080-exec-58] INFO  com.ray.weixin.qy.util.AuthHelper - accessToken:ZOJ3RCym--7oan0FJRpUghR5FMT3t_PsVCi9MrJ7PkNi0Z_MxYwjR6mKIjkeU2V-fEypmP6L0ja-6dgYSWBBsfToJPJDWpPrmA0CWfhZEbX02WmyrNutPeecHG9NmA4BtMPWbTFHYRwkajzRw0ew6X43h6qpEddkRtri8x-mpNS3wJyBv-AIagdVKtRVaEF0wsTM5K20aHm3C2LW22F77g
2017-11-09 15:59:51.961 [http-apr-8080-exec-58] INFO  com.ray.weixin.qy.util.AuthHelper - jsapi_ticket:kgt8ON7yVITDhtdwci0qebCLEfC_BfeygIq8cFPLbdbLUB0ucTHlJV0WpqmPsf-bnohhyeIsTh5Urv920HkAVA
2017-11-09 15:59:51.961 [http-apr-8080-exec-58] INFO  com.ray.weixin.qy.util.AuthHelper - appId:ww92f5da92bb24696e
2017-11-09 15:59:51.961 [http-apr-8080-exec-58] INFO  com.ray.weixin.qy.util.AuthHelper - timestamp:1510214390
