2017-11-15 17:16:58.981 [http-apr-8080-exec-7] INFO  com.ray.weixin.gz.util.AuthHelper - jsonObject:{"access_token":"2GE-xnR4zTfEjMilPaiTapaanIr4S4VOy3iSr5tIriHKK4WTuAbIttPkeaOsK4rRUWephHO0HVHQvo7nCibXfkSFX9xtxdOILILQ49ECQLPhg2MkA1Nsbm9wcK9j3CuxVHLfAEANZD","expires_in":7200}
2017-11-15 17:16:59.109 [http-apr-8080-exec-7] INFO  com.ray.weixin.gz.util.AuthHelper - jsonObject:{"errcode":0,"ticket":"HoagFKDcsGMVCIY2vOjf9mrEXbwXSbqpUm0898_LsZjrgUvXUmjZj1WFa7xD7-y9AQW9Hpa1_IwgC-BK5w_kpw","errmsg":"ok","expires_in":7200}
2017-11-15 17:16:59.110 [http-apr-8080-exec-7] INFO  com.ray.weixin.gz.util.AuthHelper - accessToken:2GE-xnR4zTfEjMilPaiTapaanIr4S4VOy3iSr5tIriHKK4WTuAbIttPkeaOsK4rRUWephHO0HVHQvo7nCibXfkSFX9xtxdOILILQ49ECQLPhg2MkA1Nsbm9wcK9j3CuxVHLfAEANZD
2017-11-15 17:16:59.111 [http-apr-8080-exec-7] INFO  com.ray.weixin.gz.util.AuthHelper - ticket:HoagFKDcsGMVCIY2vOjf9mrEXbwXSbqpUm0898_LsZjrgUvXUmjZj1WFa7xD7-y9AQW9Hpa1_IwgC-BK5w_kpw
2017-11-15 17:16:59.111 [http-apr-8080-exec-7] INFO  com.ray.weixin.gz.util.AuthHelper - nonceStr:7919e64e-d5d8-4391-a5da-fe8a3b802826
2017-11-15 17:16:59.111 [http-apr-8080-exec-7] INFO  com.ray.weixin.gz.util.AuthHelper - timeStamp:1510737418
2017-11-15 17:16:59.112 [http-apr-8080-exec-7] INFO  com.ray.weixin.gz.util.AuthHelper - signedUrl:http://rayner.nat300.top/weixin_gz/showInvoice.jsp
2017-11-15 17:16:59.112 [http-apr-8080-exec-7] INFO  com.ray.weixin.gz.util.AuthHelper - signature:80bc26ad27cf0cf1273e5fbb24661536b99b79ac
2017-11-15 17:16:59.112 [http-apr-8080-exec-7] INFO  com.ray.weixin.gz.util.AuthHelper - appId:wx07c4d9d0895fe212
2017-11-15 17:16:59.112 [http-apr-8080-exec-7] INFO  com.ray.weixin.gz.util.AuthHelper - configValue:{signature:'80bc26ad27cf0cf1273e5fbb24661536b99b79ac',nonceStr:'7919e64e-d5d8-4391-a5da-fe8a3b802826',timeStamp:'1510737418',appId:'wx07c4d9d0895fe212'}
2017-11-15 17:16:59.194 [http-apr-8080-exec-7] INFO  com.ray.weixin.gz.util.AuthHelper - jsonObject:{"access_token":"2GE-xnR4zTfEjMilPaiTapaanIr4S4VOy3iSr5tIriE8mNA8JC-jQoND9df0j-gLO-vBAZpYn460U4TO0OmFJRe5Y1zLYEP4CYsopstd08t72M8b58zciXrKP5C3ITqbJMYfAEAZCO","expires_in":7199}
2017-11-15 17:16:59.280 [http-apr-8080-exec-7] INFO  com.ray.weixin.gz.service.invoice.InvoiceService - jsonObject:{"errcode":0,"ticket":"9KwiourQPRN3vx3Nn1c_iXCh-5F7rD5UiR6FRkNziS1qBd3gAGN5S8BmdmsudJYYtP_uKP4Q2TgqHEb_CnvT9w","errmsg":"ok","expires_in":7200}
2017-11-15 17:16:59.280 [http-apr-8080-exec-7] INFO  com.ray.weixin.gz.util.AuthHelper - apiTicket:9KwiourQPRN3vx3Nn1c_iXCh-5F7rD5UiR6FRkNziS1qBd3gAGN5S8BmdmsudJYYtP_uKP4Q2TgqHEb_CnvT9w
2017-11-15 17:16:59.281 [http-apr-8080-exec-7] INFO  com.ray.weixin.gz.util.AuthHelper - appId:wx07c4d9d0895fe212
2017-11-15 17:16:59.281 [http-apr-8080-exec-7] INFO  com.ray.weixin.gz.util.AuthHelper - timeStamp:1510737419
2017-11-15 17:16:59.281 [http-apr-8080-exec-7] INFO  com.ray.weixin.gz.util.AuthHelper - nonceStr:bd7b50b7-e6a9-4856-9c4a-991f0495e556
2017-11-15 17:16:59.281 [http-apr-8080-exec-7] INFO  com.ray.weixin.gz.util.AuthHelper - cardType:INVOICE
2017-11-15 17:16:59.281 [http-apr-8080-exec-7] INFO  com.ray.weixin.gz.util.AuthHelper - cardSign:24eff7066fee1f3bdf41f7edc330867c707ec0a1
2017-11-15 17:16:59.282 [http-apr-8080-exec-7] INFO  com.ray.weixin.gz.util.AuthHelper - signType:SHA1
2017-11-15 17:16:59.282 [http-apr-8080-exec-7] INFO  com.ray.weixin.gz.util.AuthHelper - configValue:{"signType":"SHA1","cardSign":"24eff7066fee1f3bdf41f7edc330867c707ec0a1","nonceStr":"bd7b50b7-e6a9-4856-9c4a-991f0495e556","timestamp":"1510737419"}
