2017-11-15 17:27:20.597 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.util.AuthHelper - jsonObject:{"access_token":"9xwiGjnIoWXi5QZ8_hVgQqDVwI1BMfNTbEDmmmBimR22BU2lRXZvtHrKeo1scUtKfMGyX-XVTxkk3py65fC-2fFVovkxS0U6grKV6K-Q0ro4d1UeBeLapIVLU7S0w7FzMBWeAAAQFA","expires_in":7200}
2017-11-15 17:27:20.700 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.util.AuthHelper - jsonObject:{"errcode":0,"ticket":"HoagFKDcsGMVCIY2vOjf9mrEXbwXSbqpUm0898_LsZjrgUvXUmjZj1WFa7xD7-y9AQW9Hpa1_IwgC-BK5w_kpw","errmsg":"ok","expires_in":7200}
2017-11-15 17:27:20.700 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.util.AuthHelper - accessToken:9xwiGjnIoWXi5QZ8_hVgQqDVwI1BMfNTbEDmmmBimR22BU2lRXZvtHrKeo1scUtKfMGyX-XVTxkk3py65fC-2fFVovkxS0U6grKV6K-Q0ro4d1UeBeLapIVLU7S0w7FzMBWeAAAQFA
2017-11-15 17:27:20.708 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.util.AuthHelper - ticket:HoagFKDcsGMVCIY2vOjf9mrEXbwXSbqpUm0898_LsZjrgUvXUmjZj1WFa7xD7-y9AQW9Hpa1_IwgC-BK5w_kpw
2017-11-15 17:27:20.708 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.util.AuthHelper - nonceStr:a66c0389-4ed5-4fb3-a87b-23913b427558
2017-11-15 17:27:20.709 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.util.AuthHelper - timeStamp:1510738040
2017-11-15 17:27:20.709 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.util.AuthHelper - signedUrl:http://rayner.nat300.top/weixin_gz/showInvoice.jsp
2017-11-15 17:27:20.710 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.util.AuthHelper - signature:521d3eeaf52c45db838e2e405fe5e930f681f65d
2017-11-15 17:27:20.710 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.util.AuthHelper - appId:wx07c4d9d0895fe212
2017-11-15 17:27:20.710 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.util.AuthHelper - configValue:{signature:'521d3eeaf52c45db838e2e405fe5e930f681f65d',nonceStr:'a66c0389-4ed5-4fb3-a87b-23913b427558',timeStamp:'1510738040',appId:'wx07c4d9d0895fe212'}
2017-11-15 17:27:20.834 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.util.AuthHelper - jsonObject:{"access_token":"9xwiGjnIoWXi5QZ8_hVgQqDVwI1BMfNTbEDmmmBimR1xrsnTssq3YdW1ZO2In4ehj-1K_YU65DUKuloF41h0xFZBP-Rjm6-G3jMqXMQZePOcryHuz7rORSRozx4uTwiqHMOeAAAQVX","expires_in":7200}
2017-11-15 17:27:20.934 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.service.invoice.InvoiceService - jsonObject:{"errcode":0,"ticket":"9KwiourQPRN3vx3Nn1c_iXCh-5F7rD5UiR6FRkNziS1qBd3gAGN5S8BmdmsudJYYtP_uKP4Q2TgqHEb_CnvT9w","errmsg":"ok","expires_in":7200}
2017-11-15 17:27:20.934 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.util.AuthHelper - apiTicket:9KwiourQPRN3vx3Nn1c_iXCh-5F7rD5UiR6FRkNziS1qBd3gAGN5S8BmdmsudJYYtP_uKP4Q2TgqHEb_CnvT9w
2017-11-15 17:27:20.934 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.util.AuthHelper - appId:wx07c4d9d0895fe212
2017-11-15 17:27:20.934 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.util.AuthHelper - timeStamp:1510738040
2017-11-15 17:27:20.935 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.util.AuthHelper - nonceStr:fe335f5b-e503-4c85-acad-5b12c8849d5e
2017-11-15 17:27:20.935 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.util.AuthHelper - cardType:INVOICE
2017-11-15 17:27:20.935 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.util.AuthHelper - cardSign:b13be960e3c875820e9fc85de8b37ba87293504c
2017-11-15 17:27:20.935 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.util.AuthHelper - signType:SHA1
