2017-11-15 17:28:01.897 [http-apr-8080-exec-9] INFO  com.ray.weixin.gz.util.AuthHelper - jsonObject:{"access_token":"2vnbEQffYMXYuudOvVsqAfqgOohCnPRzotQ-60WIdweTq51WQsJyEZIuQbKVTAcrdpNyUS5pDf6wbxMdvuljSTURcJjY42qzaDvDxVBU4ZLS0VJukq0FBKSNWItgTvckYHAcAHAFOH","expires_in":7200}
2017-11-15 17:28:01.980 [http-apr-8080-exec-9] INFO  com.ray.weixin.gz.util.AuthHelper - jsonObject:{"errcode":0,"ticket":"HoagFKDcsGMVCIY2vOjf9mrEXbwXSbqpUm0898_LsZjrgUvXUmjZj1WFa7xD7-y9AQW9Hpa1_IwgC-BK5w_kpw","errmsg":"ok","expires_in":7200}
2017-11-15 17:28:01.981 [http-apr-8080-exec-9] INFO  com.ray.weixin.gz.util.AuthHelper - accessToken:2vnbEQffYMXYuudOvVsqAfqgOohCnPRzotQ-60WIdweTq51WQsJyEZIuQbKVTAcrdpNyUS5pDf6wbxMdvuljSTURcJjY42qzaDvDxVBU4ZLS0VJukq0FBKSNWItgTvckYHAcAHAFOH
2017-11-15 17:28:01.983 [http-apr-8080-exec-9] INFO  com.ray.weixin.gz.util.AuthHelper - ticket:HoagFKDcsGMVCIY2vOjf9mrEXbwXSbqpUm0898_LsZjrgUvXUmjZj1WFa7xD7-y9AQW9Hpa1_IwgC-BK5w_kpw
2017-11-15 17:28:01.983 [http-apr-8080-exec-9] INFO  com.ray.weixin.gz.util.AuthHelper - nonceStr:ea1bec06-7004-4991-9539-eba864f6d13b
2017-11-15 17:28:01.983 [http-apr-8080-exec-9] INFO  com.ray.weixin.gz.util.AuthHelper - timeStamp:1510738081
2017-11-15 17:28:01.983 [http-apr-8080-exec-9] INFO  com.ray.weixin.gz.util.AuthHelper - signedUrl:http://rayner.nat300.top/weixin_gz/showInvoice.jsp
2017-11-15 17:28:01.983 [http-apr-8080-exec-9] INFO  com.ray.weixin.gz.util.AuthHelper - signature:454ef0767e8f84eabbc56903e569654dafb410f8
2017-11-15 17:28:01.983 [http-apr-8080-exec-9] INFO  com.ray.weixin.gz.util.AuthHelper - appId:wx07c4d9d0895fe212
2017-11-15 17:28:01.983 [http-apr-8080-exec-9] INFO  com.ray.weixin.gz.util.AuthHelper - configValue:{signature:'454ef0767e8f84eabbc56903e569654dafb410f8',nonceStr:'ea1bec06-7004-4991-9539-eba864f6d13b',timeStamp:'1510738081',appId:'wx07c4d9d0895fe212'}
2017-11-15 17:28:02.074 [http-apr-8080-exec-9] INFO  com.ray.weixin.gz.util.AuthHelper - jsonObject:{"access_token":"2vnbEQffYMXYuudOvVsqAfqgOohCnPRzotQ-60WIdwfhb8wo60wj_dvU0Z5eWbIP-hhNX_FAOdoc2PFYPuxdXKV6wUNdCbiwBtPkbooXo7ZGOI_A58IVhwCIANVbNpeIIZIcAHAULU","expires_in":7199}
2017-11-15 17:28:02.166 [http-apr-8080-exec-9] INFO  com.ray.weixin.gz.service.invoice.InvoiceService - jsonObject:{"errcode":0,"ticket":"9KwiourQPRN3vx3Nn1c_iXCh-5F7rD5UiR6FRkNziS1qBd3gAGN5S8BmdmsudJYYtP_uKP4Q2TgqHEb_CnvT9w","errmsg":"ok","expires_in":7200}
2017-11-15 17:28:02.166 [http-apr-8080-exec-9] INFO  com.ray.weixin.gz.util.AuthHelper - apiTicket:9KwiourQPRN3vx3Nn1c_iXCh-5F7rD5UiR6FRkNziS1qBd3gAGN5S8BmdmsudJYYtP_uKP4Q2TgqHEb_CnvT9w
2017-11-15 17:28:02.167 [http-apr-8080-exec-9] INFO  com.ray.weixin.gz.util.AuthHelper - appId:wx07c4d9d0895fe212
2017-11-15 17:28:02.167 [http-apr-8080-exec-9] INFO  com.ray.weixin.gz.util.AuthHelper - timeStamp:1510738082
2017-11-15 17:28:02.167 [http-apr-8080-exec-9] INFO  com.ray.weixin.gz.util.AuthHelper - nonceStr:3e899bf6-3c83-4428-ade2-9236127ef274
2017-11-15 17:28:02.167 [http-apr-8080-exec-9] INFO  com.ray.weixin.gz.util.AuthHelper - cardType:INVOICE
2017-11-15 17:28:02.167 [http-apr-8080-exec-9] INFO  com.ray.weixin.gz.util.AuthHelper - cardSign:9ef0e3f41c19aea55ba5288c1c9a4ddaf42754b4
2017-11-15 17:28:02.167 [http-apr-8080-exec-9] INFO  com.ray.weixin.gz.util.AuthHelper - signType:SHA1
2017-11-15 17:28:02.168 [http-apr-8080-exec-9] INFO  com.ray.weixin.gz.util.AuthHelper - configValue:{"signType":"SHA1","cardSign":"9ef0e3f41c19aea55ba5288c1c9a4ddaf42754b4","nonceStr":"3e899bf6-3c83-4428-ade2-9236127ef274","timestamp":"1510738082"}
