2017-11-15 18:37:22.467 [http-apr-8080-exec-5] INFO  com.ray.weixin.gz.util.AuthHelper - jsonObject:{"access_token":"9xwiGjnIoWXi5QZ8_hVgQi7uyuoX4LrpLQ7Lr47PG3OV9143r1G012SAo4UhpzFQRK0jpI7_5WxHqJnyGtNbHjVHlHi8EepjiDjmo4RHslJk3naW5XbfKT2SjssUth3UWJRiAIAJWE","expires_in":7200}
2017-11-15 18:37:22.618 [http-apr-8080-exec-5] INFO  com.ray.weixin.gz.util.AuthHelper - jsonObject:{"errcode":0,"ticket":"HoagFKDcsGMVCIY2vOjf9mrEXbwXSbqpUm0898_LsZgBi9Ja3Cb-iRCpfbms7MNv3e_heT1Q91ygjzjqxFaRVw","errmsg":"ok","expires_in":7200}
2017-11-15 18:37:22.619 [http-apr-8080-exec-5] INFO  com.ray.weixin.gz.util.AuthHelper - accessToken:9xwiGjnIoWXi5QZ8_hVgQi7uyuoX4LrpLQ7Lr47PG3OV9143r1G012SAo4UhpzFQRK0jpI7_5WxHqJnyGtNbHjVHlHi8EepjiDjmo4RHslJk3naW5XbfKT2SjssUth3UWJRiAIAJWE
2017-11-15 18:37:22.624 [http-apr-8080-exec-5] INFO  com.ray.weixin.gz.util.AuthHelper - ticket:HoagFKDcsGMVCIY2vOjf9mrEXbwXSbqpUm0898_LsZgBi9Ja3Cb-iRCpfbms7MNv3e_heT1Q91ygjzjqxFaRVw
2017-11-15 18:37:22.624 [http-apr-8080-exec-5] INFO  com.ray.weixin.gz.util.AuthHelper - nonceStr:159c895f-7270-4ade-8e83-cc04bc385aba
2017-11-15 18:37:22.624 [http-apr-8080-exec-5] INFO  com.ray.weixin.gz.util.AuthHelper - timeStamp:1510742241
2017-11-15 18:37:22.624 [http-apr-8080-exec-5] INFO  com.ray.weixin.gz.util.AuthHelper - signedUrl:http://localhost:8080/weixin_gz/showInvoice.jsp
2017-11-15 18:37:22.625 [http-apr-8080-exec-5] INFO  com.ray.weixin.gz.util.AuthHelper - signature:0136082b1e03f5cdfb991aa9f493a11b4916f80f
2017-11-15 18:37:22.625 [http-apr-8080-exec-5] INFO  com.ray.weixin.gz.util.AuthHelper - appId:wx07c4d9d0895fe212
2017-11-15 18:37:22.625 [http-apr-8080-exec-5] INFO  com.ray.weixin.gz.util.AuthHelper - configValue:{signature:'0136082b1e03f5cdfb991aa9f493a11b4916f80f',nonceStr:'159c895f-7270-4ade-8e83-cc04bc385aba',timeStamp:'1510742241',appId:'wx07c4d9d0895fe212'}
2017-11-15 18:37:22.724 [http-apr-8080-exec-5] INFO  com.ray.weixin.gz.util.AuthHelper - jsonObject:{"access_token":"9xwiGjnIoWXi5QZ8_hVgQi7uyuoX4LrpLQ7Lr47PG3OzcBIGqENlg-nnQKOzldTR32TvEx2tlelcUuadrK1tX2uONc2p9HGNECoXx_DVPljA0b_tP3SB-C7WwJfKU-C6FIBiAIAORK","expires_in":7200}
2017-11-15 18:37:22.835 [http-apr-8080-exec-5] INFO  com.ray.weixin.gz.service.invoice.InvoiceService - jsonObject:{"errcode":0,"ticket":"9KwiourQPRN3vx3Nn1c_iXCh-5F7rD5UiR6FRkNziS3ioM7lrWDvEODqM6XQdQbgraF_oLOqdFSXbGH0lwPjuA","errmsg":"ok","expires_in":7200}
2017-11-15 18:37:22.836 [http-apr-8080-exec-5] INFO  com.ray.weixin.gz.util.AuthHelper - apiTicket:9KwiourQPRN3vx3Nn1c_iXCh-5F7rD5UiR6FRkNziS3ioM7lrWDvEODqM6XQdQbgraF_oLOqdFSXbGH0lwPjuA
2017-11-15 18:37:22.836 [http-apr-8080-exec-5] INFO  com.ray.weixin.gz.util.AuthHelper - appId:wx07c4d9d0895fe212
2017-11-15 18:37:22.836 [http-apr-8080-exec-5] INFO  com.ray.weixin.gz.util.AuthHelper - timeStamp:1510742242
2017-11-15 18:37:22.837 [http-apr-8080-exec-5] INFO  com.ray.weixin.gz.util.AuthHelper - nonceStr:da1f86db-0090-49da-9baa-b1c7f19dc470
2017-11-15 18:37:22.837 [http-apr-8080-exec-5] INFO  com.ray.weixin.gz.util.AuthHelper - cardType:INVOICE
2017-11-15 18:37:22.837 [http-apr-8080-exec-5] INFO  com.ray.weixin.gz.util.AuthHelper - cardSign:42ae35c956e130d007e69852c728accbea733ef2
2017-11-15 18:37:22.837 [http-apr-8080-exec-5] INFO  com.ray.weixin.gz.util.AuthHelper - signType:SHA1
2017-11-15 18:37:22.837 [http-apr-8080-exec-5] INFO  com.ray.weixin.gz.util.AuthHelper - configValue:{"signType":"SHA1","cardSign":"42ae35c956e130d007e69852c728accbea733ef2","nonceStr":"da1f86db-0090-49da-9baa-b1c7f19dc470","timestamp":"1510742242"}
